Average Rank,Film,Year
1,The Godfather,1972
2,Citizen Kane,1941
3,Casablanca,1942
4,"The Godfather, Part II",1974
5,Singin' in the Rain,1952
6,Psycho,1960
7,Rear Window,1954
8,Apocalypse Now,1979
9,2001: A Space Odyssey,1968
10,Seven Samurai,1954
11,Vertigo,1958
12,Sunset Blvd,1950
13,Modern Times,1936
14,Lawrence of Arabia,1962
15,North by Northwest,1959
16,Star Wars,1977
17,Parasite,2019
18,Schindler's List,1993
19,Lord of the Rings: The Fellowship of the Ring,2001
20,Shawshank Redemption,1994
21,It's a Wonderful Life,1946
22,Pulp Fiction,1994
23,Avengers: Endgame,2019
24,City Lights,1931
25,One Flew Over the Cuckoo's Nest,1975
26,Goodfellas,1990
27,Raiders of the Lost Ark,1981
28,12 Angry Men,1957
29,The Silence of the Lambs,1991
30,Taxi Driver,1976
31,Saving Private Ryan,1998
32,E.T. the Extra Terrestrial,1982
33,Alien,1979
34,Spider-Man: Into the Spider-verse,2018
35,Blade Runner,1982
36,Double Indemnity,1944
37,The Dark Knight,2008
38,The Wizard of Oz,1939
39,Star Wars: Episode V- The Empire Strikes Back,1980
40,The Searchers,1956
41,Mad Max: Fury Road,2015
42,Inception,2010
43,Lord of the Rings: Return of the King,2003
44,The Matrix,1999
45,Fight Club,1999
46,Back to the Future,1985
47,It Happened One Night,1934
48,"The Good, the Bad, and the Ugly",1966
49,Lord of the Rings: The Two Towers,2002
50,All About Eve,1950
